"Jahr","Alter","Geschlecht","qx"
1951,76,"M",0.094837
1951,77,"M",0.102553
1951,78,"M",0.111436
1951,79,"M",0.132678
1951,80,"M",0.132577
1951,81,"M",0.153986
1951,82,"M",0.162416
1951,83,"M",0.168731
1951,84,"M",0.191867
1951,85,"M",0.185769
1951,86,"M",0.215814
1951,87,"M",0.253801
1951,88,"M",0.241098
1951,89,"M",0.255034
1951,90,"M",0.279933
1951,91,"M",0.309133
1951,92,"M",0.312618
1951,93,"M",0.342679
1951,94,"M",0.331658
1951,95,"M",0.464945
1951,0,"F",0.052804
1951,1,"F",0.004573
1951,2,"F",0.002553
1951,3,"F",0.001748
1951,4,"F",0.001438
1951,5,"F",0.000924
1951,6,"F",0.000841
1951,7,"F",0.000662
1951,8,"F",0.000656
1951,9,"F",0.00057
1951,10,"F",4e-04
1951,11,"F",0.000529
1951,12,"F",0.000529
1951,13,"F",0.000443
1951,14,"F",0.000463
1951,15,"F",0.000651
1951,16,"F",0.000926
1951,17,"F",0.001046
1951,18,"F",0.001082
1951,19,"F",0.001054
1951,20,"F",0.001318
1951,21,"F",0.001066
1951,22,"F",0.001208
1951,23,"F",0.001292
1951,24,"F",0.0016
1951,25,"F",0.001377
1951,26,"F",0.001496
1951,27,"F",0.001651
1951,28,"F",0.001272
1951,29,"F",0.0016
1951,30,"F",0.001745
1951,31,"F",0.001516
1951,32,"F",0.002018
1951,33,"F",0.001953
1951,34,"F",0.002049
1951,35,"F",0.001722
1951,36,"F",0.002253
1951,37,"F",0.002124
1951,38,"F",0.002267
1951,39,"F",0.00245
1951,40,"F",0.002859
1951,41,"F",0.002658
1951,42,"F",0.003286
1951,43,"F",0.002888
1951,44,"F",0.003965
1951,45,"F",0.003574
1951,46,"F",0.003888
1951,47,"F",0.004724
1951,48,"F",0.005475
1951,49,"F",0.005269
1951,50,"F",0.006175
1951,51,"F",0.006791
1951,52,"F",0.007216
1951,53,"F",0.007411
1951,54,"F",0.007621
1951,55,"F",0.008943
1951,56,"F",0.009236
1951,57,"F",0.009355
1951,58,"F",0.010885
1951,59,"F",0.013017
1951,60,"F",0.013271
1951,61,"F",0.015706
1951,62,"F",0.015673
1951,63,"F",0.018159
1951,64,"F",0.021106
1951,65,"F",0.022863
1951,66,"F",0.025372
1951,67,"F",0.029151
1951,68,"F",0.03065
1951,69,"F",0.035084
1951,70,"F",0.04004
1951,71,"F",0.044399
1951,72,"F",0.050229
1951,73,"F",0.057386
1951,74,"F",0.061568
1951,75,"F",0.07103
1951,76,"F",0.077902
1951,77,"F",0.084949
1951,78,"F",0.093815
1951,79,"F",0.104076
1951,80,"F",0.113812
1951,81,"F",0.125408
1951,82,"F",0.149119
1951,83,"F",0.150937
1951,84,"F",0.179221
1951,85,"F",0.187412
1951,86,"F",0.199551
1951,87,"F",0.220132
1951,88,"F",0.244078
1951,89,"F",0.231638
1951,90,"F",0.286496
1951,91,"F",0.311974
1951,92,"F",0.335766
1951,93,"F",0.321918
1951,94,"F",0.304239
1951,95,"F",0.398827
1952,0,"M",0.058235
1952,1,"M",0.003934
1952,2,"M",0.002545
1952,3,"M",0.001282
1952,4,"M",0.00118
1952,5,"M",0.001009
1952,6,"M",0.000909
1952,7,"M",0.001092
1952,8,"M",0.000678
1952,9,"M",0.000525
1952,10,"M",0.00065
1952,11,"M",0.00067
1952,12,"M",0.000746
1952,13,"M",0.00069
1952,14,"M",0.000659
1952,15,"M",0.000666
1952,16,"M",0.001189
1952,17,"M",0.001724
1952,18,"M",0.001553
1952,19,"M",0.001667
1952,20,"M",0.001956
1952,21,"M",0.002012
1952,22,"M",0.001911
1952,23,"M",0.002108
1952,24,"M",0.002024
1952,25,"M",0.001827
1952,26,"M",0.001927
1952,27,"M",0.002197
1952,28,"M",0.001864
1952,29,"M",0.001874
1952,30,"M",0.002068
1952,31,"M",0.002314
1952,32,"M",0.001988
1952,33,"M",0.002217
1952,34,"M",0.001878
1952,35,"M",0.002346
1952,36,"M",0.002748
1952,37,"M",0.003089
1952,38,"M",0.002645
1952,39,"M",0.002769
1952,40,"M",0.003578
1952,41,"M",0.00331
1952,42,"M",0.00387
1952,43,"M",0.004228
1952,44,"M",0.004359
1952,45,"M",0.005443
1952,46,"M",0.006103
1952,47,"M",0.006859
1952,48,"M",0.007472
1952,49,"M",0.00803
1952,50,"M",0.009468
1952,51,"M",0.010134
1952,52,"M",0.011981
1952,53,"M",0.012762
1952,54,"M",0.013497
1952,55,"M",0.013976
1952,56,"M",0.016215
1952,57,"M",0.016959
1952,58,"M",0.019666
1952,59,"M",0.021158
1952,60,"M",0.02069
1952,61,"M",0.025341
1952,62,"M",0.026171
1952,63,"M",0.029332
1952,64,"M",0.030567
1952,65,"M",0.032908
1952,66,"M",0.036388
1952,67,"M",0.040769
1952,68,"M",0.044557
1952,69,"M",0.051784
1952,70,"M",0.050858
1952,71,"M",0.056668
1952,72,"M",0.062826
1952,73,"M",0.070852
1952,74,"M",0.073826
1952,75,"M",0.081949
1952,76,"M",0.08847
1952,77,"M",0.099963
1952,78,"M",0.107218
1952,79,"M",0.11292
1952,80,"M",0.127327
1952,81,"M",0.138038
1952,82,"M",0.158068
1952,83,"M",0.160672
1952,84,"M",0.178592
1952,85,"M",0.195954
1952,86,"M",0.229116
